                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     46,                 2.9054,                0.58516,                 2.7331,                 3.4037,               0.026584,                   0.75,               0.033584,               0.012244,               0.019371,                      1,               0.047455,               0.017349,                 2.4146,                0.59114,                 3.9799,                 3.0232,              0.0099555,              0.0099555,              0.0099555
                     47,                 2.7884,                0.57069,                 2.6592,                 3.3496,               0.039028,                   0.85,               0.039564,               0.014448,               0.019871,                      1,               0.044249,               0.018947,                 2.5266,                0.54298,                 3.8082,                 3.2365,              0.0099545,              0.0099545,              0.0099545
                     48,                 2.8226,                0.64843,                 2.7466,                 3.2947,               0.038846,                      1,                0.78038,                0.29807,               0.038846,                      1,                0.76019,                0.29493,                 2.4977,                0.84219,                 3.0947,                 3.0846,              0.0099535,              0.0099535,              0.0099535
                     49,                 2.9253,                0.67796,                 2.6317,                 3.3308,               0.034529,                    0.8,               0.033632,               0.011916,               0.045476,                      1,               0.058854,               0.021358,                 2.8569,                0.72705,                 7.0049,                 3.9016,              0.0099525,              0.0099525,              0.0099525
                     50,                 2.8504,                0.61757,                 2.5178,                 3.2582,                0.27003,                   0.95,                0.61963,                0.29557,                0.27962,                0.98991,                0.65548,                0.31845,                 2.5172,                0.59291,                 3.6834,                 3.1011,              0.0099515,              0.0099515,              0.0099515
                     51,                 2.9503,                0.57768,                 2.5494,                  3.356,               0.045663,                    0.7,               0.044122,               0.013565,               0.066481,                   0.85,               0.069071,                0.02665,                  2.951,                 0.4897,                 10.337,                 5.7299,              0.0099505,              0.0099505,              0.0099505
                     52,                 2.8264,                0.64449,                  2.571,                 3.2874,               0.018258,                    0.2,               0.019991,              0.0084136,               0.047598,                   0.45,               0.047383,               0.015948,                 2.5025,                0.47001,                 4.7519,                 3.5781,              0.0099495,              0.0099495,              0.0099495
                     53,                 2.6648,                0.57971,                 2.3716,                 3.1357,               0.037398,                   0.55,               0.047303,               0.017628,               0.050529,                   0.75,               0.054885,                0.02597,                 2.3871,                0.42936,                 5.5138,                 3.0904,              0.0099485,              0.0099485,              0.0099485
                     54,                 2.8692,                0.58319,                 2.2799,                 3.2052,                 0.1902,                   0.65,                0.29853,                  0.139,                0.20483,                    0.7,                0.28005,                0.15975,                 1.9886,                0.44936,                 2.5568,                   2.81,              0.0099475,              0.0099475,              0.0099475
                     55,                 2.6753,                0.61723,                 2.2984,                 3.1081,                0.58864,                0.64417,                0.63656,                0.29217,                0.42606,                   0.65,                0.54675,                0.28104,                 1.9009,                0.53124,                 4.9061,                 2.6978,              0.0099465,              0.0099465,              0.0099465
                     56,                 2.6996,                0.60985,                 2.2174,                 3.1164,                0.46489,                   0.75,                0.55802,                0.28004,                0.40213,                    0.9,                0.52719,                0.28256,                 1.8388,                0.43474,                 2.5511,                 2.6946,              0.0099456,              0.0099456,              0.0099456
                     57,                 2.6499,                0.55511,                 2.3651,                 3.0912,                0.37964,                    0.6,                0.42152,                0.12294,                0.37451,                   0.75,                0.40171,                0.17416,                 2.9053,                0.60226,                 3.5626,                 3.3015,              0.0099446,              0.0099446,              0.0099446
                     58,                 2.7029,                0.64064,                 2.4465,                 3.1479,                0.42322,                   0.55,                0.51005,                0.29764,                0.48951,                   0.75,                 0.6227,                0.32435,                 1.8805,                0.42772,                 3.1592,                  2.777,              0.0099436,              0.0099436,              0.0099436
